
Factor Contributions (avg = 1) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
5,10/11/21,-2.000000E-001,3.373900E+000,1.151000E-002,-4.797500E-002,-2.000000E-001,6.624400E+000,1.422300E+000,1.304000E+000,-2.000000E-001,-2.000000E-001,2.296300E+000
5,10/12/21,-1.568500E-001,3.760400E+000,8.684000E-003,2.396000E-001,2.202000E-001,-3.833000E-002,5.370900E-001,-2.000000E-001,-2.000000E-001,-3.034300E-002,9.389500E-001
5,10/13/21,-1.633600E-001,3.020400E+000,-1.853700E-001,7.117400E-002,-2.000000E-001,-2.000000E-001,1.181700E+000,3.567900E+000,-7.100600E-002,2.911900E-002,1.610900E+000
5,10/14/21,-1.588700E-001,1.665000E+000,-4.877900E-002,2.116600E-002,-1.701100E-001,6.094800E+000,1.407500E+000,3.512300E+000,1.612400E-001,4.622500E-001,4.204900E+000
5,10/15/21,-7.674200E-002,7.551200E-001,1.090400E+000,-3.830200E-003,5.820200E-001,-1.143800E-002,-4.380900E-002,-3.611100E-002,-1.918300E-001,1.780500E-001,5.315000E-003
5,10/16/21,-1.404400E-002,-1.022600E-001,8.852400E-001,3.996600E-003,4.369200E-002,-1.475900E-002,6.856900E-002,5.477400E-003,-9.003900E-002,4.734300E-002,1.992500E-002
5,10/17/21,-1.228000E-001,4.173200E-001,5.671300E-001,-1.300600E-001,-2.000000E-001,5.151400E+000,1.953600E-001,3.936000E+000,4.479500E-002,9.105200E-002,7.279600E-001
5,10/18/21,-2.350800E-002,2.831400E-001,3.235800E-001,2.447200E-002,4.084800E-002,-4.285700E-004,2.351600E-003,-1.267700E-002,-4.066900E-002,3.548400E-002,1.112500E-002
5,10/19/21,-1.405300E-001,3.425400E-001,-1.601700E-001,-1.494500E-001,-2.000000E-001,7.518800E+000,-1.841000E-002,4.873600E+000,2.461600E-001,7.544400E-002,1.386900E+000
5,10/20/21,-1.492900E-001,1.018700E-001,-8.357700E-003,-2.000000E-001,3.220300E-001,6.773000E+000,9.541700E-001,5.564800E+000,3.786200E-002,1.006100E+000,1.558400E+000
5,10/21/21,-1.364600E-001,3.239100E-001,4.307600E-001,7.180600E-002,3.041500E-001,4.830400E+000,6.842800E-001,4.079500E+000,-8.441200E-002,5.696200E-001,1.165000E+000
5,10/22/21,-1.847800E-001,-2.000000E-001,-2.000000E-001,8.528400E-001,5.637800E-001,7.127000E+000,2.018300E+000,6.653500E+000,-1.133600E-001,1.226300E+000,2.289400E+000
5,10/23/21,-3.491200E-002,2.129700E-001,2.983800E-001,4.898200E-001,3.692800E-002,1.118000E-003,1.418500E-002,-9.031900E-003,-5.546400E-002,4.181100E-002,1.390200E-002
5,10/24/21,-1.746900E-001,9.938300E-001,2.602300E-003,-5.517100E-002,4.294600E-001,7.285200E+000,1.260300E+000,2.877700E+000,-2.000000E-001,5.424800E-002,-2.000000E-001
5,10/25/21,-1.504800E-002,1.025500E-001,3.918000E-001,2.192600E-002,3.748000E-002,-2.976600E-003,1.915100E-002,-2.984700E-003,-3.912300E-002,2.679100E-002,1.032500E-002
5,10/26/21,1.178500E+000,1.522300E+000,-1.649900E-001,-5.110100E-002,1.409700E-003,5.437400E+000,4.417700E-001,2.132900E+000,-2.000000E-001,7.983800E-002,4.835700E-001
5,10/27/21,-2.000000E-001,2.954800E+000,2.674800E-001,3.072600E-001,-4.243400E-002,-7.101700E-002,-2.000000E-001,3.314800E+000,-2.000000E-001,2.694900E-001,-2.000000E-001
5,10/28/21,-1.661700E-001,2.583600E+000,5.818200E-001,-8.073900E-002,1.378900E-001,-1.236900E-001,2.551400E-001,2.660600E+000,-2.000000E-001,-2.000000E-001,7.022300E-001
5,10/29/21,1.829900E-001,2.361400E+000,3.341000E-001,2.685300E-001,-8.915700E-002,-1.895300E-001,4.710900E-001,3.654900E+000,-1.435900E-001,5.259500E-001,1.161000E+000
5,10/30/21,-1.403400E-002,-9.349500E-002,8.612500E-001,4.866000E-003,4.350500E-002,-1.419100E-002,6.639900E-002,5.151500E-003,-8.775400E-002,4.640000E-002,1.948400E-002
5,10/31/21,-1.714000E-001,1.566900E-001,-2.000000E-001,-1.790400E-001,1.717700E+000,5.992100E+000,2.243800E+000,4.064200E+000,-2.000000E-001,1.948700E+000,2.343100E+000
