
**** Error Estimation Summary ****

DISP Displaced Species:
,Dichloromethane
,Chloroform
,Trichlorofluoromethane
,Dichlorodifluoromethane
,Carbon Tetrachloride
,1_1_2-Trichlorotrifluoroethane
,1_2-Dichloro-1_1_2_2-tetrafluoroethane
,Tetrachloroethene
,1_2-Dichlorobenzene
,1_4-Dichlorobenzene
,PCBTF
,N-Butane
,Isobutane
,N-Pentane
,Isopentane
,2-Methyl pentane
,Butene
,Propylene
,cis-2-Pentene
,Isoprene
,alpha-Pinene
,MVK
,Benzene
,Toluene
,Ethylbenzene
,Propylbenzene
,m_p-Xylene
,o-Xylene
,p-Isopropyl Toluene
,Naphthalene
,Methanol
,Ethanol
,Phenol
,Formaldehyde
,Acetaldehyde
,Isovaleraldehyde
,Hexaldehyde
,m_p-Tolualdehyde
,Phenylacetaldehyde
,Cyclohexanone
,Methyl acetate
,n-Butyl acetate
,Diethylphthalate
,D5-Siloxane

DISP Diagnostics:
,Error Code:,0
,Largest Decrease in Q:,-0.257
,%dQ:,-0.001733
,Swaps by Factor:,0,0,0,0,0,0,0,0,0,0,0,0,0

Concentrations for Factor 1,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
m_p-Tolualdehyde,0.00015103,,,,,,,,,9.471E-05,0.00014099,0.00018727,
Phenylacetaldehyde,0.0018356,,,,,,,,,0,0.00367375,0.0073475,
Cyclohexanone,0.000177,,,,,,,,,0.00012028,0.00017698,0.00023368,
Methyl acetate,0,,,,,,,,,0,0.000423665,0.00084733,
n-Butyl acetate,0.0043595,,,,,,,,,0.0019379,0.004619,0.0073001,
Diethylphthalate,0.0017488,,,,,,,,,0,0.00204845,0.0040969,
D5-Siloxane,0.009079,,,,,,,,,0.007741,0.008915,0.010089,

Concentrations for Factor 5,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.0050221,,,,,,,,,0.0032402,0.0049831,0.006726,
Chloroform,0.00021602,,,,,,,,,0,0.000324515,0.00064903,
Trichlorofluoromethane,0.0032479,,,,,,,,,0,0.00338275,0.0067655,
Dichlorodifluoromethane,0.014458,,,,,,,,,0.0088817,0.01453535,0.020189,
Carbon Tetrachloride,0.00046469,,,,,,,,,0,0.00075865,0.0015173,
1_1_2-Trichlorotrifluoroethane,0.0014088,,,,,,,,,0.00024901,0.001415755,0.0025825,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.00054327,,,,,,,,,0.00028404,0.00052817,0.0007723,
Tetrachloroethene,9.1451E-05,,,,,,,,,2.1477E-05,9.47735E-05,0.00016807,
1_2-Dichlorobenzene,0,,,,,,,,,0,1.88825E-05,3.7765E-05,
1_4-Dichlorobenzene,0.00014992,,,,,,,,,0,0.000128545,0.00025709,
PCBTF,0.00062433,,,,,,,,,0.00035908,0.000587125,0.00081517,
N-Butane,0.0010903,,,,,,,,,0,0.00379925,0.0075985,
Isobutane,0.0017995,,,,,,,,,0,0.0043034,0.0086068,
N-Pentane,0.00045381,,,,,,,,,0,0.000461435,0.00092287,
