
Factor Contributions (avg = 1) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
4,10/13/21,-1.701000E-001,-2.000000E-001,6.597800E-002,-1.075900E-001,-1.303700E-001,1.036600E+000,3.877000E+000,5.959200E-002,3.438700E+000,-2.000000E-001,1.488900E+000
4,10/14/21,-1.670600E-001,-2.000000E-001,1.796700E-001,3.617500E-001,5.826700E+000,1.533600E+000,2.254400E+000,7.463400E-002,3.630700E+000,-1.240900E-001,3.541700E+000
4,10/15/21,-1.288200E-001,1.795900E+000,4.318600E-001,4.715700E-002,-2.614900E-002,-1.006100E-001,8.095200E-001,-2.000000E-001,1.946800E-003,-2.000000E-001,-4.629100E-002
4,10/16/21,-2.235900E-002,5.328500E-001,4.949100E-001,-1.514800E-001,-1.964900E-002,5.285300E-002,-2.000000E-001,-1.475200E-002,2.514100E-002,-1.235700E-001,-7.718200E-004
4,10/17/21,-1.284600E-001,-1.011100E-001,5.583600E-001,2.496300E-002,4.821100E+000,4.768900E-001,2.359100E-001,-9.052800E-002,4.572500E+000,-1.552500E-001,8.198800E-001
4,10/18/21,-3.104800E-002,3.361400E-001,1.968600E-001,-3.712600E-002,-4.835200E-003,-6.189800E-003,3.108700E-001,-9.978500E-003,7.776700E-004,-7.028000E-002,-1.853500E-002
4,10/19/21,-1.519200E-001,-2.000000E-001,-4.543700E-002,5.030800E-001,6.112800E+000,4.306600E-001,4.918600E-001,-1.093100E-001,4.764300E+000,-1.119100E-002,1.618500E+000
4,10/20/21,-1.854600E-001,3.140400E-001,-6.230100E-002,1.069400E+000,6.247800E+000,1.389400E+000,2.156500E-001,-1.875600E-001,5.639400E+000,-1.483200E-001,1.748200E+000
4,10/21/21,-1.683500E-001,6.059100E-001,2.045900E-001,4.124700E-001,4.558400E+000,8.855300E-001,4.157700E-001,5.673300E-002,4.595500E+000,-2.000000E-001,1.229500E+000
4,10/22/21,-1.960600E-001,5.004000E-001,-2.000000E-001,8.892200E-001,7.069000E+000,1.829600E+000,-2.000000E-001,9.863300E-001,6.762300E+000,-1.149900E-001,2.728900E+000
4,10/23/21,-3.957900E-002,6.304000E-001,1.447900E-001,-1.736100E-001,6.643600E-003,-6.410300E-002,2.288100E-001,4.730600E-001,2.882900E-003,-9.394100E-002,-1.714800E-003
4,10/24/21,-1.974100E-001,2.990500E-001,-2.000000E-001,2.680600E-001,7.634900E+000,6.162200E-001,9.852800E-001,-1.759600E-001,3.978900E+000,5.938700E-003,-1.036800E-001
4,10/25/21,-2.272100E-002,3.640000E-001,2.443800E-001,-6.714500E-002,-6.811900E-003,1.625000E-002,6.657600E-002,-4.893200E-003,9.956400E-003,-7.485300E-002,-6.714300E-003
4,10/26/21,1.158100E+000,3.221100E-001,-2.000000E-001,7.002700E-002,5.350300E+000,3.918900E-001,1.743300E+000,-1.515500E-001,2.384600E+000,-1.511600E-001,4.773400E-001
4,10/27/21,-1.932800E-001,1.663200E-001,2.848200E-001,1.602800E-001,-1.672600E-001,-2.000000E-001,3.343500E+000,2.429100E-001,3.539100E+000,-2.000000E-001,-2.000000E-001
4,10/28/21,-2.000000E-001,5.612000E-001,1.062200E-001,-2.000000E-001,-1.092300E-001,1.124700E-001,3.374400E+000,-2.000000E-001,2.980200E+000,-2.000000E-001,6.285600E-001
4,10/29/21,1.880300E-001,-3.858000E-002,3.471100E-001,2.805300E-001,-2.000000E-001,3.942900E-001,2.787000E+000,3.047200E-001,3.961000E+000,-2.000000E-001,1.021700E+000
4,10/30/21,-2.233500E-002,5.332600E-001,4.910700E-001,-1.505300E-001,-1.943200E-002,5.289000E-002,-2.000000E-001,-1.481300E-002,2.509600E-002,-1.235700E-001,-5.706800E-004
4,10/31/21,-1.910300E-001,6.435300E-001,-2.000000E-001,2.498800E+000,6.107600E+000,1.924200E+000,8.414200E-002,-2.000000E-001,3.762100E+000,-9.030800E-002,2.930400E+000
