
Factor Contributions (avg = 1) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,10/07/21,-8.774800E-002,1.932300E+000,8.071500E+000,-1.086900E-001,3.604400E-002,2.076100E-001,1.927300E+000,8.970900E-002,1.099600E-001,3.025900E+000
11,10/08/21,-2.187200E-002,2.693600E-001,4.071000E-003,1.474800E-002,2.334300E-001,1.206100E-002,-1.671400E-002,2.877800E-002,-1.153000E-002,-5.799200E-003
11,10/09/21,-2.000000E-001,1.950400E+000,7.299300E+000,-9.787000E-002,-2.000000E-001,1.473600E+000,4.931300E+000,-2.000000E-001,-1.821000E-001,4.167300E+000
11,10/10/21,4.890000E-001,8.767000E-001,7.524500E+000,3.630400E-001,2.796300E-001,1.749500E+000,1.571800E+000,7.546800E-002,-8.533000E-002,4.879200E+000
11,10/11/21,-2.000000E-001,3.684500E+000,7.143300E+000,-2.000000E-001,2.472900E-001,1.628300E-001,1.912200E+000,-2.000000E-001,-2.000000E-001,1.747100E+000
11,10/12/21,-1.771900E-001,4.836100E+000,-2.104600E-002,-5.054000E-002,3.846500E-001,1.671200E-001,6.117500E-001,1.727400E-001,-2.000000E-001,-2.000000E-001
11,10/13/21,-1.793900E-001,4.000400E+000,-2.000000E-001,-4.065300E-002,1.260800E-001,4.236700E-001,1.487700E+000,-2.000000E-001,-1.898900E-001,3.333200E+000
11,10/14/21,-1.810200E-001,2.365700E+000,6.072400E+000,6.915700E-002,2.439300E-002,5.808800E-001,3.214500E+000,1.316800E-001,-1.290400E-001,4.067000E+000
11,10/15/21,-1.191100E-001,1.066000E+000,4.958400E-003,-6.200100E-002,1.268400E+000,1.578600E-001,-9.932900E-002,6.178900E-001,-2.000000E-001,-1.319000E-002
11,10/16/21,-2.638200E-002,-1.486900E-001,-7.668700E-003,2.765500E-002,8.552400E-001,1.603600E-002,-5.567600E-003,-3.457600E-002,-2.076600E-002,1.469000E-002
