**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 59

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Cyclohexanone,  0.00022,  0.00000,  0.00018,  0.00022,  0.00023,  0.00051,  0.00023,  0.00011,  0.48594,  0.49811
Methyl acetate,  0.00000,  0.00000,  0.00000,  0.00000,  0.01013,  0.05560,  0.00728,  0.01283,  1.76141,  0.00000
n-Butyl acetate,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.02490,  0.00045,  0.00265,  5.90965,  0.00000
D5-Siloxane,  0.00105,  0.00000,  0.00109,  0.00132,  0.01862,  0.04782,  0.00767,  0.00966,  1.25904,  9.18444

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00963,  0.00240,  0.00839,  0.00964,  0.01088,  0.02337,  0.00984,  0.00218,  0.22147,  0.22633
Chloroform,  0.00167,  0.00000,  0.00104,  0.00154,  0.00166,  0.00503,  0.00144,  0.00060,  0.41598,  0.35831
Trichlorofluoromethane,  0.00679,  0.00000,  0.00474,  0.00601,  0.00681,  0.03597,  0.00716,  0.00606,  0.84626,  0.89164
Dichlorodifluoromethane,  0.02179,  0.00000,  0.01510,  0.03034,  0.03327,  0.11570,  0.03128,  0.02282,  0.72941,  1.04731
Carbon Tetrachloride,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00862,  0.00071,  0.00200,  2.82087,  0.00000
1_1_2-Trichlorotrifluoroethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01069,  0.00069,  0.00204,  2.94672,  0.00000
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00129,  0.00055,  0.00150,  0.00159,  0.00190,  0.00402,  0.00172,  0.00064,  0.36939,  0.49385
Tetrachloroethene,  0.00046,  0.00000,  0.00032,  0.00041,  0.00050,  0.00098,  0.00040,  0.00013,  0.32795,  0.28442
1_2-Dichlorobenzene,  0.00013,  0.00000,  0.00000,  0.00012,  0.00013,  0.00435,  0.00013,  0.00043,  3.24266,  3.39400
1_4-Dichlorobenzene,  0.00015,  0.00000,  0.00007,  0.00014,  0.00027,  0.00199,  0.00017,  0.00021,  1.24117,  1.42931
PCBTF,  0.00130,  0.00018,  0.00083,  0.00102,  0.00134,  0.00222,  0.00106,  0.00034,  0.32120,  0.26282
N-Butane,  0.17015,  0.00141,  0.15303,  0.17265,  0.17557,  0.19096,  0.16430,  0.02832,  0.17236,  0.16644
Isobutane,  0.10454,  0.00000,  0.05420,  0.09882,  0.10753,  0.17762,  0.08642,  0.03740,  0.43274,  0.35775
N-Pentane,  0.06736,  0.00000,  0.06618,  0.06771,  0.06835,  0.07558,  0.06479,  0.01219,  0.18818,  0.18100
Isopentane,  0.07932,  0.00776,  0.07062,  0.07482,  0.07929,  0.10884,  0.07222,  0.01744,  0.24150,  0.21988
2-Methyl pentane,  0.03342,  0.00000,  0.01060,  0.03048,  0.03189,  0.06342,  0.02384,  0.01224,  0.51341,  0.36632
Butene,  0.06385,  0.00536,  0.06148,  0.06462,  0.06686,  0.08163,  0.06331,  0.01025,  0.16197,  0.16059
Propylene,  0.12779,  0.00000,  0.12250,  0.13974,  0.14241,  0.16982,  0.13461,  0.02524,  0.18749,  0.19749
cis-2-Pentene,  0.00235,  0.00000,  0.00182,  0.00226,  0.00234,  0.00416,  0.00209,  0.00051,  0.24529,  0.21800
Isoprene,  0.02651,  0.00000,  0.01191,  0.02380,  0.02563,  0.20886,  0.02033,  0.02240,  1.10194,  0.84515
alpha-Pinene,  0.00606,  0.00000,  0.00312,  0.00587,  0.00602,  0.04149,  0.00508,  0.00449,  0.88294,  0.74044
MVK,  0.01599,  0.00000,  0.00716,  0.01450,  0.01550,  0.09228,  0.01196,  0.01035,  0.86593,  0.64755
Benzene,  0.02160,  0.00000,  0.01615,  0.02074,  0.02384,  0.05042,  0.01935,  0.00687,  0.35516,  0.31818
Toluene,  0.03587,  0.00031,  0.02679,  0.03671,  0.03771,  0.04736,  0.03238,  0.00980,  0.30280,  0.27336
