**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Isovaleraldehyde,  0.02707,  0.00337,  0.02410,  0.02648,  0.02704,  0.02969,  0.02416,  0.00577,  0.23877,  0.21306
Hexaldehyde,  0.07520,  0.00899,  0.06772,  0.07450,  0.07510,  0.08704,  0.06849,  0.01599,  0.23342,  0.21258
m_p-Tolualdehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00003,  0.00014,  0.00002,  0.00004,  1.70613,  0.00000
Phenylacetaldehyde,  0.05955,  0.02703,  0.05030,  0.05938,  0.05952,  0.06495,  0.05391,  0.01136,  0.21071,  0.19077
Cyclohexanone,  0.00030,  0.00007,  0.00026,  0.00030,  0.00030,  0.00040,  0.00027,  0.00009,  0.33092,  0.29698
Methyl acetate,  0.00724,  0.00000,  0.00227,  0.00723,  0.00814,  0.00879,  0.00588,  0.00310,  0.52672,  0.42752
n-Butyl acetate,  0.00106,  0.00000,  0.00044,  0.00103,  0.00111,  0.00429,  0.00115,  0.00109,  0.95358,  1.03595
D5-Siloxane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00682,  0.00070,  0.00181,  2.59675,  0.00000

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00372,  0.00284,  0.00322,  0.00353,  0.00372,  0.00613,  0.00362,  0.00067,  0.18645,  0.18123
Chloroform,  0.00075,  0.00061,  0.00071,  0.00075,  0.00079,  0.00111,  0.00078,  0.00013,  0.16424,  0.17004
Trichlorofluoromethane,  0.00313,  0.00000,  0.00274,  0.00314,  0.00394,  0.01603,  0.00362,  0.00319,  0.88358,  1.02106
Dichlorodifluoromethane,  0.00881,  0.00000,  0.00611,  0.00787,  0.00884,  0.05547,  0.00944,  0.01118,  1.18494,  1.26902
Carbon Tetrachloride,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00543,  0.00027,  0.00121,  4.47214,  0.00000
1_1_2-Trichlorotrifluoroethane,  0.00125,  0.00000,  0.00112,  0.00123,  0.00125,  0.00387,  0.00129,  0.00085,  0.66045,  0.68432
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00030,  0.00000,  0.00008,  0.00023,  0.00030,  0.00174,  0.00027,  0.00036,  1.34539,  1.20759
Tetrachloroethene,  0.00055,  0.00021,  0.00053,  0.00055,  0.00057,  0.00060,  0.00053,  0.00009,  0.17747,  0.16993
1_2-Dichlorobenzene,  0.00511,  0.00086,  0.00500,  0.00510,  0.00511,  0.00512,  0.00435,  0.00153,  0.35237,  0.30005
1_4-Dichlorobenzene,  0.00518,  0.00048,  0.00512,  0.00518,  0.00519,  0.00947,  0.00573,  0.00208,  0.36336,  0.40144
PCBTF,  0.00059,  0.00006,  0.00058,  0.00061,  0.00081,  0.00089,  0.00065,  0.00019,  0.29033,  0.32014
N-Butane,  0.05949,  0.01522,  0.05008,  0.05694,  0.05949,  0.08359,  0.05506,  0.01276,  0.23178,  0.21450
Isobutane,  0.01078,  0.00596,  0.01081,  0.01291,  0.01705,  0.03428,  0.01426,  0.00587,  0.41153,  0.54442
N-Pentane,  0.00054,  0.00000,  0.00036,  0.00054,  0.00133,  0.02059,  0.00206,  0.00459,  2.22710,  8.48923
Isopentane,  0.02560,  0.00212,  0.02177,  0.02561,  0.02846,  0.03425,  0.02474,  0.00711,  0.28735,  0.27770
2-Methyl pentane,  0.00381,  0.00000,  0.00314,  0.00385,  0.00699,  0.00985,  0.00464,  0.00278,  0.59914,  0.72960
Butene,  0.02236,  0.00546,  0.01925,  0.02227,  0.02237,  0.03185,  0.02102,  0.00520,  0.24755,  0.23269
Propylene,  0.08905,  0.05459,  0.08563,  0.08893,  0.09045,  0.11720,  0.08779,  0.01099,  0.12518,  0.12341
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00062,  0.00005,  0.00016,  3.19609,  0.00000
Isoprene,  0.01845,  0.00000,  0.01189,  0.01483,  0.01839,  0.02697,  0.01440,  0.00663,  0.46071,  0.35943
alpha-Pinene,  0.00462,  0.00007,  0.00360,  0.00421,  0.00460,  0.00631,  0.00385,  0.00138,  0.35760,  0.29833
MVK,  0.00874,  0.00062,  0.00505,  0.00675,  0.00872,  0.01246,  0.00672,  0.00315,  0.46907,  0.36040
Benzene,  0.00103,  0.00000,  0.00000,  0.00103,  0.00201,  0.00694,  0.00184,  0.00251,  1.36304,  2.42622
Toluene,  0.01732,  0.00092,  0.01713,  0.01741,  0.02143,  0.03040,  0.01841,  0.00563,  0.30598,  0.32512
Ethylbenzene,  0.00270,  0.00011,  0.00267,  0.00271,  0.00329,  0.00476,  0.00288,  0.00089,  0.30808,  0.32832
Propylbenzene,  0.00084,  0.00020,  0.00081,  0.00085,  0.00093,  0.00110,  0.00085,  0.00018,  0.21773,  0.21832
