
Factor Contributions (avg = 1) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
6,10/09/21,7.245900E+000,-2.000000E-001,-2.000000E-001,4.959500E+000,-2.000000E-001,-1.806600E-001,1.666100E+000,4.252900E+000,1.821400E+000,-2.000000E-001
6,10/10/21,7.546400E+000,1.046000E-001,2.445700E-001,1.585600E+000,5.028300E-001,-1.139800E-001,1.732900E+000,4.838100E+000,8.889100E-001,2.927800E-001
6,10/11/21,7.153800E+000,-2.000000E-001,-2.000000E-001,1.987900E+000,-2.000000E-001,-2.000000E-001,2.165800E-001,1.684400E+000,3.535700E+000,2.428900E-001
6,10/12/21,-2.557100E-002,1.745300E-001,9.375900E-003,6.511000E-001,-2.000000E-001,-2.000000E-001,1.863400E-001,-2.000000E-001,4.645900E+000,3.553000E-001
6,10/13/21,-2.000000E-001,-2.000000E-001,-7.863600E-002,1.504100E+000,-1.898600E-001,-1.919900E-001,4.538900E-001,3.337300E+000,3.838200E+000,1.604800E-001
6,10/14/21,6.119000E+000,8.998600E-002,6.950500E-005,3.286800E+000,-1.751600E-001,-8.426300E-002,5.775000E-001,4.070400E+000,2.229500E+000,-5.512600E-004
6,10/15/21,1.252100E-003,6.184900E-001,-2.574700E-002,-8.261900E-002,-1.061900E-001,-2.000000E-001,1.372200E-001,-1.625800E-002,1.077000E+000,1.180300E+000
6,10/16/21,-1.028500E-002,-3.058400E-002,3.814600E-002,-1.292300E-003,-1.148800E-002,-2.616400E-002,1.501900E-002,1.562400E-002,-1.346100E-001,8.671800E-001
6,10/17/21,4.956000E+000,-2.000000E-001,-1.010800E-001,7.488500E-001,-9.457800E-002,-1.230800E-002,1.004300E-001,4.362100E+000,2.823000E-001,6.315200E-001
6,10/18/21,2.127900E-003,2.557300E-002,1.706200E-002,-1.946200E-002,-2.586500E-002,-2.023200E-002,1.723100E-002,-8.263000E-003,3.306400E-001,3.494800E-001
6,10/19/21,5.520500E+000,4.405200E-002,-1.454000E-001,1.117300E+000,-1.134300E-001,-1.201900E-003,2.056000E-001,5.580200E+000,5.474600E-001,-1.127200E-001
6,10/20/21,6.464000E+000,7.101800E-001,-1.596600E-001,1.447700E+000,-1.474900E-001,-2.000000E-001,1.042100E+000,6.503800E+000,1.972800E-001,2.714700E-002
6,10/21/21,4.955200E+000,4.901900E-001,1.186000E-001,1.074400E+000,-1.380700E-001,-1.934200E-001,6.100100E-001,4.446800E+000,4.431600E-001,5.410100E-001
6,10/22/21,7.372200E+000,7.891800E-001,9.707900E-001,2.351900E+000,-1.632700E-001,-2.000000E-001,1.010400E+000,8.082800E+000,-2.000000E-001,-2.000000E-001
6,10/23/21,-1.510600E-002,7.044200E-002,4.856300E-001,-1.075700E-002,-3.971700E-002,-9.018600E-002,-1.595200E-002,-1.260200E-003,3.893900E-001,3.668800E-001
6,10/24/21,7.895500E+000,2.853500E-001,-9.870400E-002,-2.000000E-001,-1.401300E-001,8.006200E-002,1.625200E-001,3.861700E+000,4.601900E-001,1.097900E-001
6,10/25/21,-9.206500E-004,9.939300E-003,2.795000E-002,-8.375100E-003,-1.554600E-002,-1.325600E-002,9.030100E-003,1.330500E-003,1.171800E-001,4.006200E-001
6,10/26/21,5.656000E+000,1.239900E-001,-1.056900E-001,4.340200E-001,1.160200E+000,-2.000000E-001,1.007600E-001,2.372100E+000,1.532600E+000,1.232800E-001
6,10/27/21,-9.657900E-002,-4.434000E-002,1.617500E-001,-2.000000E-001,-2.000000E-001,-2.000000E-001,2.868900E-002,3.098100E+000,3.344100E+000,7.261400E-001
6,10/28/21,-1.290200E-001,-6.376200E-002,-2.000000E-001,7.255300E-001,-1.868200E-001,-2.000000E-001,-2.000000E-001,2.476700E+000,3.171900E+000,1.062700E+000
6,10/29/21,-2.000000E-001,-1.371200E-001,1.953400E-001,7.333900E-001,1.805600E-001,-1.886900E-001,2.820700E-001,4.088600E+000,2.884800E+000,6.441200E-001
6,10/30/21,-9.834200E-003,-2.769300E-002,3.771700E-002,-1.562800E-003,-1.171700E-002,-2.649400E-002,1.528500E-002,1.509000E-002,-1.233600E-001,8.462900E-001
6,10/31/21,6.012300E+000,1.885600E+000,-1.230000E-001,2.586600E+000,-1.947700E-001,-1.753900E-001,1.393600E+000,4.379400E+000,4.541300E-001,-2.000000E-001
