**** Run Comparison Statistics ****

Concentration of Species	Lowest Q (Robust) Run = Run 8

Factor 1		Statistics Over All Runs
	Lowest Q	Min	25th	50th	75th	Max	Mean    	Std Dev	RSD % mean	RSD % Lowest Q
N-Butane	  0.55380	  0.13688	  0.53295	  0.59292	  0.63599	  1.10487	  0.60618	  0.19531	  0.32220	  0.35268
Isobutane	  0.74317	  0.03521	  0.68424	  0.80393	  0.97780	  1.50878	  0.82045	  0.27913	  0.34022	  0.37560
N-Pentane	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000
Isopentane	  0.51964	  0.06436	  0.47048	  0.51994	  0.85472	  1.41813	  0.63633	  0.29159	  0.45824	  0.56115
2-Methyl pentane	  0.65372	  0.09644	  0.45674	  0.65658	  1.05254	  1.47010	  0.73576	  0.35526	  0.48286	  0.54345
Butene	  0.28740	  0.08260	  0.27347	  0.31017	  0.35496	  0.61530	  0.31507	  0.09807	  0.31126	  0.34123
Propylene	  0.41210	  0.05562	  0.05922	  0.41157	  0.49206	  0.89420	  0.34517	  0.25785	  0.74704	  0.62571
cis-2-Pentene	  0.00461	  0.00000	  0.00445	  0.00633	  0.01210	  0.01257	  0.00755	  0.00443	  0.58686	  0.96144
Isoprene	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.46762	  0.02385	  0.10446	  4.38014	  0.00000
alpha-Pinene	  0.01621	  0.00000	  0.00000	  0.00706	  0.01633	  0.13089	  0.01591	  0.02986	  1.87611	  1.84245
MVK	  0.03694	  0.00000	  0.02174	  0.03693	  0.06289	  0.19381	  0.04696	  0.04029	  0.85800	  1.09069
Benzene	  0.28577	  0.00000	  0.12734	  0.28628	  0.49360	  0.51363	  0.30792	  0.17376	  0.56431	  0.60805
Toluene	  0.14274	  0.08951	  0.13772	  0.17389	  0.24993	  0.33785	  0.19638	  0.06915	  0.35212	  0.48443
Ethylbenzene	  0.03237	  0.01769	  0.03112	  0.03809	  0.04628	  0.05976	  0.03903	  0.01080	  0.27662	  0.33351
Propylbenzene	  0.01004	  0.00729	  0.00979	  0.01050	  0.01381	  0.01758	  0.01157	  0.00272	  0.23553	  0.27138
m_p-Xylene	  0.00290	  0.00000	  0.00000	  0.00036	  0.02046	  0.05376	  0.01097	  0.01882	  1.71645	  6.49285
o-Xylene	  0.02464	  0.00554	  0.02260	  0.02853	  0.03656	  0.05442	  0.02924	  0.01064	  0.36376	  0.43168
p-Isopropyl Toluene	  0.02171	  0.00831	  0.01454	  0.02188	  0.03675	  0.03809	  0.02428	  0.01067	  0.43969	  0.49160
Naphthalene	  0.03420	  0.00219	  0.03039	  0.03434	  0.03871	  0.04004	  0.03166	  0.01005	  0.31744	  0.29383
Methanol	  0.00286	  0.00000	  0.36845	  3.11607	  5.86161	 17.29573	  4.34287	  4.64104	  1.06866	1623.31827
Ethanol	  0.05614	  0.00000	  0.00000	  0.04366	  0.21866	  1.93001	  0.20014	  0.42868	  2.14190	  7.63628
Phenol	  0.00000	  0.00000	  0.00000	  0.00000	  0.02996	  0.08973	  0.01534	  0.02282	  1.48834	  0.00000
