**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Hexaldehyde,  1.59308,  0.00000,  1.02930,  1.58885,  1.75721,  2.48682,  1.37260,  0.57163,  0.41645,  0.35882
m_p-Tolualdehyde,  0.03726,  0.01213,  0.02459,  0.03087,  0.03722,  0.04506,  0.03009,  0.00813,  0.27016,  0.21817
Phenylacetaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.25072,  0.01046,  0.04907,  4.68968,  0.00000
Cyclohexanone,  0.05655,  0.01608,  0.03659,  0.04790,  0.05653,  0.06799,  0.04599,  0.01275,  0.27714,  0.22540
Methyl acetate,  1.21843,  0.00000,  0.84820,  1.05301,  1.22912,  2.47194,  1.05865,  0.40676,  0.38422,  0.33384
n-Butyl acetate,  3.60249,  0.60468,  2.06392,  2.63336,  3.60018,  4.41781,  2.64594,  0.95926,  0.36254,  0.26628
D5-Siloxane,  0.17376,  0.00000,  0.00000,  0.16138,  0.31541,  3.18463,  0.39784,  0.63968,  1.60787,  3.68144

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.33274,  0.23953,  0.31607,  0.37854,  0.60219,  0.66726,  0.43840,  0.13461,  0.30705,  0.40456
Chloroform,  0.07212,  0.03630,  0.06630,  0.07329,  0.12591,  0.12633,  0.08485,  0.02891,  0.34071,  0.40087
Trichlorofluoromethane,  0.29763,  0.00000,  0.00000,  0.28458,  0.76302,  4.06632,  0.52995,  0.72956,  1.37664,  2.45125
Dichlorodifluoromethane,  0.68931,  0.00000,  0.63888,  0.69966,  3.44885,  4.03155,  1.53893,  1.36046,  0.88403,  1.97365
Carbon Tetrachloride,  0.00000,  0.00000,  0.00000,  0.00000,  0.09105,  0.29110,  0.04426,  0.06806,  1.53775,  0.00000
1_1_2-Trichlorotrifluoroethane,  0.11071,  0.06931,  0.10691,  0.14957,  0.16913,  0.70843,  0.19371,  0.13786,  0.71168,  1.24528
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.02227,  0.00000,  0.02167,  0.03568,  0.05226,  0.12870,  0.04368,  0.02973,  0.68059,  1.33477
Tetrachloroethene,  0.04954,  0.01889,  0.04439,  0.04828,  0.04847,  0.06277,  0.04552,  0.00803,  0.17632,  0.16203
1_2-Dichlorobenzene,  0.41109,  0.00000,  0.00000,  0.37937,  0.41639,  0.80401,  0.29385,  0.21431,  0.72934,  0.52133
1_4-Dichlorobenzene,  0.42004,  0.00000,  0.00000,  0.05288,  0.40511,  0.67009,  0.19761,  0.20515,  1.03815,  0.48840
PCBTF,  0.06484,  0.00795,  0.05996,  0.06484,  0.08084,  0.11144,  0.06719,  0.01842,  0.27420,  0.28416
N-Butane,  4.86599,  2.09102,  3.86879,  4.57201,  5.09698, 18.43404,  5.47866,  2.81829,  0.51441,  0.57918
Isobutane,  1.20856,  0.00000,  1.08383,  1.19788,  5.96832,  6.37871,  2.43381,  2.33380,  0.95891,  1.93107
N-Pentane,  0.20827,  0.00000,  0.02097,  0.19313,  0.21325,  4.19637,  0.47740,  0.92977,  1.94758,  4.46420
Isopentane,  2.28835,  0.36047,  2.12438,  2.31737,  2.47374,  6.08727,  2.42935,  0.88882,  0.36587,  0.38841
2-Methyl pentane,  0.47005,  0.00000,  0.41632,  0.45993,  4.37042,  4.39699,  1.50306,  1.85548,  1.23447,  3.94738
Butene,  1.83287,  0.58483,  1.74758,  1.83157,  1.94166,  6.59820,  2.18228,  1.03305,  0.47338,  0.56363
Propylene,  7.37808,  0.91408,  2.63349,  6.75582,  7.47383, 24.40978,  6.22042,  4.08461,  0.65665,  0.55361
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.02113,  0.11346,  0.01237,  0.02055,  1.66091,  0.00000
Isoprene,  1.02905,  0.00000,  0.00000,  0.99944,  1.38729,  5.27181,  1.08785,  1.02918,  0.94607,  1.00012
alpha-Pinene,  0.31262,  0.11224,  0.11349,  0.30423,  0.39835,  1.14711,  0.34320,  0.22943,  0.66849,  0.73388
