**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Naphthalene,  0.00091,  0.00012,  0.00024,  0.00090,  0.00129,  0.00151,  0.00082,  0.00051,  0.62427,  0.56554
Methanol,  0.15418,  0.01749,  0.56807,  1.07690,  2.10905,  3.18740,  1.34006,  0.92530,  0.69049,  6.00143
Ethanol,  4.60800,  4.60340,  4.68795,  4.77745,  4.84875,  4.93310,  4.77271,  0.11105,  0.02327,  0.02410
Phenol,  0.00375,  0.00000,  0.00000,  0.00375,  0.01209,  0.01730,  0.00606,  0.00623,  1.02798,  1.66293
Formaldehyde,  0.21643,  0.13441,  0.16066,  0.21642,  0.25773,  0.45081,  0.23559,  0.09105,  0.38646,  0.42068
Acetaldehyde,  0.14284,  0.06112,  0.07883,  0.14277,  0.14570,  0.24021,  0.12735,  0.05169,  0.40592,  0.36189
Isovaleraldehyde,  0.00104,  0.00031,  0.00051,  0.00201,  0.00253,  0.00355,  0.00166,  0.00103,  0.62234,  0.99458
Hexaldehyde,  0.00000,  0.00000,  0.00000,  0.00059,  0.00278,  0.00793,  0.00154,  0.00209,  1.35618,  0.00000
m_p-Tolualdehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00006,  0.00001,  0.00002,  3.04869,  0.00000
Phenylacetaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Cyclohexanone,  0.00011,  0.00011,  0.00013,  0.00016,  0.00018,  0.00024,  0.00016,  0.00004,  0.23304,  0.32428
Methyl acetate,  0.01356,  0.00593,  0.00872,  0.00900,  0.01039,  0.01357,  0.00956,  0.00203,  0.21192,  0.14937
n-Butyl acetate,  0.00000,  0.00000,  0.00359,  0.00750,  0.00780,  0.01402,  0.00613,  0.00339,  0.55329,  0.00000
D5-Siloxane,  0.01872,  0.00000,  0.00054,  0.00710,  0.01100,  0.01872,  0.00704,  0.00630,  0.89499,  0.33649

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00803,  0.00508,  0.00524,  0.00727,  0.01011,  0.01454,  0.00789,  0.00281,  0.35540,  0.34938
Chloroform,  0.00174,  0.00000,  0.00000,  0.00094,  0.00170,  0.00303,  0.00101,  0.00085,  0.84567,  0.49073
Trichlorofluoromethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00249,  0.00012,  0.00056,  4.47214,  0.00000
Dichlorodifluoromethane,  0.03098,  0.03093,  0.04989,  0.06948,  0.08652,  0.12118,  0.06753,  0.02481,  0.36744,  0.80096
Carbon Tetrachloride,  0.00040,  0.00000,  0.00001,  0.00020,  0.00144,  0.00454,  0.00076,  0.00115,  1.51970,  2.88465
1_1_2-Trichlorotrifluoroethane,  0.00277,  0.00130,  0.00191,  0.00309,  0.00334,  0.00597,  0.00285,  0.00110,  0.38612,  0.39710
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00052,  0.00052,  0.00099,  0.00149,  0.00164,  0.00353,  0.00145,  0.00067,  0.46508,  1.28499
Tetrachloroethene,  0.00087,  0.00032,  0.00036,  0.00056,  0.00083,  0.00128,  0.00062,  0.00027,  0.43207,  0.31115
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00013,  0.00014,  0.00004,  0.00006,  1.42550,  0.00000
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
PCBTF,  0.00106,  0.00000,  0.00000,  0.00023,  0.00055,  0.00347,  0.00043,  0.00079,  1.82742,  0.74457
N-Butane,  0.08675,  0.06477,  0.07320,  0.08752,  0.10758,  0.11378,  0.09026,  0.01636,  0.18127,  0.18859
