
Factor Profiles (conc. of species) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
6,p-Isopropyl Toluene,3.023065E+000,4.774032E+000,1.257962E+001,2.633188E+000,3.037405E+000,4.301215E+001,8.913235E+000,0.000000E+000,0.000000E+000,2.202730E+001
6,Naphthalene,0.000000E+000,3.439071E+001,2.694788E+000,0.000000E+000,7.181454E+000,2.408903E+001,1.043476E+001,0.000000E+000,1.603365E+000,1.960590E+001
6,Methanol,9.969070E-001,3.433639E+000,1.705397E+000,1.123946E-001,8.604324E+001,1.917188E-001,8.405383E-001,3.359869E-001,4.432628E+000,1.907551E+000
6,Ethanol,0.000000E+000,0.000000E+000,8.703079E+001,0.000000E+000,0.000000E+000,3.509376E+000,1.675667E+000,2.330744E+000,4.785972E+000,6.674525E-001
6,Phenol,4.008834E+000,0.000000E+000,0.000000E+000,0.000000E+000,8.270389E-001,3.789366E+001,0.000000E+000,1.050006E+001,1.440248E+001,3.236792E+001
6,Isovaleraldehyde,4.613070E+000,1.429451E+001,5.715941E+000,0.000000E+000,2.314634E-001,4.198833E+000,0.000000E+000,2.463619E+001,3.370837E+001,1.260163E+001
6,Hexaldehyde,6.213557E+000,9.389906E+000,3.521215E+000,0.000000E+000,0.000000E+000,0.000000E+000,3.382336E+000,2.826099E+001,3.616230E+001,1.306970E+001
6,m_p-Tolualdehyde,0.000000E+000,3.708828E+001,1.385712E+000,2.531524E+000,3.787305E+000,4.575537E-001,2.180790E+001,9.185232E+000,0.000000E+000,2.375650E+001
6,Phenylacetaldehyde,1.665147E+001,0.000000E+000,0.000000E+000,0.000000E+000,6.511401E-001,3.237548E+001,0.000000E+000,2.093561E+000,2.934715E+001,1.888120E+001
6,Cyclohexanone,4.724131E+000,3.887288E+001,1.066632E+001,0.000000E+000,4.939663E+000,0.000000E+000,1.146054E+001,4.582289E+000,1.271376E+001,1.204043E+001
6,Methyl acetate,0.000000E+000,9.034378E+000,2.671893E+000,4.280953E+000,3.423738E+000,6.115000E+001,1.389880E+001,1.587695E+000,3.952546E+000,0.000000E+000
6,n-Butyl acetate,0.000000E+000,3.419689E+001,4.610750E+000,1.448318E+001,4.070833E+000,3.909733E+001,0.000000E+000,3.324034E+000,2.169857E-001,0.000000E+000
6,D5-Siloxane,5.396053E+000,1.071386E+000,7.900095E+000,0.000000E+000,5.005794E+000,2.853946E+001,4.450495E+001,7.582266E+000,0.000000E+000,0.000000E+000

Factor Profiles (% of factor total) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
6,Dichloromethane,4.879254E-001,1.877072E-001,0.000000E+000,8.552437E-001,7.930777E-003,2.682581E+000,8.620183E-001,6.457021E-001,4.634982E-001,2.296570E-001
6,Chloroform,8.966151E-002,1.490672E-002,2.264495E-002,1.277864E-001,1.062140E-003,6.502462E-001,2.190942E-001,1.097353E-001,8.021951E-002,0.000000E+000
6,Trichlorofluoromethane,0.000000E+000,0.000000E+000,0.000000E+000,1.935846E+000,7.245664E-003,5.361671E+000,3.061432E-001,2.492766E+000,1.373715E+000,1.353258E+000
6,Dichlorodifluoromethane,4.516366E+000,5.718663E-001,0.000000E+000,1.109256E+000,1.410674E-002,3.698675E+000,3.956135E+000,0.000000E+000,3.189101E+000,1.355126E+000
6,Carbon Tetrachloride,3.918653E-001,7.356814E-002,1.252845E-002,0.000000E+000,1.531186E-003,1.440558E+000,3.272013E-001,6.679793E-002,4.351391E-001,3.342120E-001
6,1_1_2-Trichlorotrifluoroethane,2.481688E-001,0.000000E+000,2.056408E-002,0.000000E+000,2.016550E-003,1.532869E+000,3.439461E-001,6.379411E-001,5.128902E-001,3.617285E-001
6,1_2-Dichloro-1_1_2_2-tetrafluoroethane,1.434280E-001,0.000000E+000,0.000000E+000,1.441029E-001,4.810150E-004,2.175988E-001,7.612106E-002,5.090569E-002,1.237291E-001,7.479339E-002
6,Tetrachloroethene,2.605455E-002,3.224049E-002,2.034897E-003,9.412773E-003,2.752463E-004,1.102248E-001,6.306690E-002,6.144782E-002,2.685299E-003,5.058676E-003
6,1_2-Dichlorobenzene,6.429515E-002,0.000000E+000,0.000000E+000,1.370393E-002,0.000000E+000,2.746965E-002,0.000000E+000,5.690735E-001,4.860350E-003,0.000000E+000
