**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
alpha-Pinene,  0.00222,  0.00070,  0.00246,  0.00331,  0.00677,  0.00946,  0.00449,  0.00243,  0.54154,  1.09560
MVK,  0.00212,  0.00084,  0.00289,  0.00554,  0.00772,  0.01154,  0.00557,  0.00292,  0.52497,  1.37910
Benzene,  0.00661,  0.00000,  0.00184,  0.00363,  0.00653,  0.00670,  0.00382,  0.00242,  0.63475,  0.36671
Toluene,  0.02470,  0.00558,  0.02014,  0.02468,  0.02506,  0.02752,  0.02179,  0.00603,  0.27695,  0.24433
Ethylbenzene,  0.00375,  0.00075,  0.00322,  0.00374,  0.00388,  0.00430,  0.00337,  0.00097,  0.28642,  0.25738
Propylbenzene,  0.00101,  0.00050,  0.00087,  0.00101,  0.00106,  0.00112,  0.00094,  0.00018,  0.18750,  0.17329
m_p-Xylene,  0.01060,  0.00498,  0.00990,  0.01059,  0.01186,  0.01265,  0.01032,  0.00209,  0.20214,  0.19687
o-Xylene,  0.00459,  0.00067,  0.00410,  0.00459,  0.00478,  0.00544,  0.00420,  0.00128,  0.30581,  0.27993
p-Isopropyl Toluene,  0.00042,  0.00000,  0.00034,  0.00044,  0.00067,  0.00076,  0.00046,  0.00020,  0.44814,  0.48201
Naphthalene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Methanol,  0.40862,  0.28205,  0.44269,  0.66153,  0.91512,  1.26510,  0.68251,  0.29471,  0.43181,  0.72124
Ethanol,  0.00000,  0.00000,  0.00000,  0.00746,  0.06781,  0.14175,  0.03469,  0.04533,  1.30670,1970327976081.26000
Phenol,  0.02043,  0.00805,  0.02046,  0.02509,  0.03239,  0.04764,  0.02527,  0.00915,  0.36204,  0.44773
Formaldehyde,  0.12278,  0.11103,  0.13007,  0.19751,  0.25947,  0.30735,  0.19992,  0.06928,  0.34653,  0.56425
Acetaldehyde,  0.12710,  0.01189,  0.12711,  0.14025,  0.16742,  0.18859,  0.13876,  0.04227,  0.30459,  0.33253
Isovaleraldehyde,  0.00727,  0.00369,  0.00733,  0.00877,  0.01286,  0.01896,  0.01011,  0.00381,  0.37695,  0.52407
Hexaldehyde,  0.01975,  0.00803,  0.01990,  0.02685,  0.04290,  0.05462,  0.03072,  0.01319,  0.42930,  0.66795
m_p-Tolualdehyde,  0.00008,  0.00000,  0.00008,  0.00011,  0.00014,  0.00015,  0.00010,  0.00004,  0.43344,  0.55566
Phenylacetaldehyde,  0.01212,  0.00000,  0.01212,  0.01489,  0.01899,  0.02692,  0.01475,  0.00601,  0.40766,  0.49619
Cyclohexanone,  0.00013,  0.00000,  0.00013,  0.00015,  0.00021,  0.00022,  0.00015,  0.00006,  0.41447,  0.46351
Methyl acetate,  0.00460,  0.00000,  0.00071,  0.00283,  0.00460,  0.00498,  0.00273,  0.00188,  0.68734,  0.40825
n-Butyl acetate,  0.00626,  0.00000,  0.00243,  0.00419,  0.00632,  0.00855,  0.00427,  0.00246,  0.57701,  0.39385
D5-Siloxane,  0.01222,  0.00609,  0.01139,  0.01235,  0.01440,  0.01817,  0.01265,  0.00293,  0.23168,  0.23993

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.05374,  0.02867,  0.03321,  0.04261,  0.05336,  0.05374,  0.04269,  0.00922,  0.21608,  0.17162
Chloroform,  0.01304,  0.00515,  0.00848,  0.01098,  0.01297,  0.01304,  0.01051,  0.00261,  0.24846,  0.20024
Trichlorofluoromethane,  0.10253,  0.03508,  0.06005,  0.08026,  0.10248,  0.10601,  0.07853,  0.02505,  0.31895,  0.24429
Dichlorodifluoromethane,  0.06297,  0.00000,  0.00153,  0.02518,  0.06270,  0.06571,  0.02960,  0.02628,  0.88812,  0.41743
